epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.829,0.82518,1.63932,1.04253,0.95132,0.93601,0.98144,0.83451,0.63204,0.55486,0.94745,0.000195876,0.000195876,0.000195876
2,537.684,0.69492,0.53218,0.96465,0.98937,0.98139,0.98869,0.86625,0.56089,0.36688,0.90381,0.000366012,0.000366012,0.000366012
3,804.777,0.6746,0.49301,0.95741,0.99183,0.98704,0.99017,0.87952,0.52969,0.32719,0.88604,0.000510276,0.000510276,0.000510276
4,1059.43,0.64406,0.44568,0.94464,0.98541,0.98674,0.98915,0.88775,0.50438,0.31069,0.8761,0.000471576,0.000471576,0.000471576
5,1318.1,0.60307,0.40177,0.92445,0.99564,0.98738,0.99123,0.89867,0.47123,0.28406,0.8612,0.000432768,0.000432768,0.000432768
6,1565.73,0.51739,0.31397,0.88201,0.9974,0.98924,0.99301,0.90694,0.46225,0.27118,0.85012,0.00039396,0.00039396,0.00039396
7,1818.11,0.48168,0.28846,0.86344,0.99544,0.99259,0.99257,0.92162,0.42759,0.24805,0.83879,0.000355152,0.000355152,0.000355152
8,2079.2,0.45294,0.26856,0.8522,0.99846,0.99212,0.99331,0.92736,0.41071,0.23226,0.83291,0.000316344,0.000316344,0.000316344
9,2333.43,0.43155,0.25275,0.84285,0.9973,0.99248,0.99363,0.93682,0.38497,0.22026,0.82658,0.000277536,0.000277536,0.000277536
10,2589.27,0.40774,0.24007,0.83168,0.9985,0.99473,0.99415,0.9421,0.37415,0.21571,0.82075,0.000238728,0.000238728,0.000238728
11,2841.99,0.38765,0.22654,0.82635,0.99601,0.99567,0.99457,0.94809,0.35144,0.20159,0.81523,0.00019992,0.00019992,0.00019992
12,3087.56,0.36854,0.21234,0.81817,0.99714,0.9958,0.99477,0.9534,0.34353,0.18876,0.81185,0.000161112,0.000161112,0.000161112
13,3347.29,0.35161,0.2019,0.8142,0.99656,0.99691,0.99479,0.95761,0.3265,0.17972,0.80552,0.000122304,0.000122304,0.000122304
14,3602.44,0.33247,0.1891,0.8098,0.99585,0.9971,0.99474,0.96124,0.31369,0.17341,0.80278,8.3496e-05,8.3496e-05,8.3496e-05
15,3854.9,0.31715,0.1798,0.804,0.99662,0.99548,0.99464,0.96359,0.30556,0.16498,0.80008,4.4688e-05,4.4688e-05,4.4688e-05
